#{"t_start": 1763486504.285047, "env_id": "CartPole-v1"}
r,l,t
44.0,44,17.611043
46.0,46,17.643177
14.0,14,17.652929
54.0,54,17.690287
35.0,35,17.714547
30.0,30,17.764767
47.0,47,17.800607
25.0,25,17.81758
28.0,28,17.83703
74.0,74,17.888266
24.0,24,17.904882
30.0,30,17.926681
33.0,33,17.97498
67.0,67,18.020154
50.0,50,18.053681
52.0,52,18.088403
40.0,40,18.115387
45.0,45,18.169247
47.0,47,18.200529
54.0,54,18.236559
14.0,14,18.245996
90.0,90,18.307181
48.0,48,18.36747
52.0,52,18.404938
89.0,89,18.472985
41.0,41,18.501462
62.0,62,18.568255
30.0,30,18.588775
40.0,40,18.616452
48.0,48,18.649658
39.0,39,18.676636
35.0,35,18.700892
34.0,34,18.724527
85.0,85,18.807942
80.0,80,18.863462
53.0,53,18.900256
58.0,58,18.964972
47.0,47,18.996391
87.0,87,19.05414
37.0,37,19.079073
70.0,70,19.125561
15.0,15,19.160115
70.0,70,19.208522
62.0,62,19.2514
35.0,35,19.275608
26.0,26,19.293734
11.0,11,19.30142
52.0,52,19.363514
47.0,47,19.397024
54.0,54,19.439408
56.0,56,19.479398
31.0,31,19.50148
119.0,119,19.619527
31.0,31,19.641405
27.0,27,19.660455
15.0,15,19.671052
82.0,82,19.728684
38.0,38,19.760142
108.0,108,19.868339
17.0,17,19.880199
31.0,31,19.901694
79.0,79,19.955261
25.0,25,19.972426
41.0,41,20.035012
61.0,61,20.077644
42.0,42,20.10703
51.0,51,20.142342
71.0,71,20.216009
76.0,76,20.268701
42.0,42,20.298503
42.0,42,20.328297
61.0,61,20.371525
34.0,34,20.420885
32.0,32,20.443643
46.0,46,20.476331
104.0,104,20.54993
101.0,101,20.646453
53.0,53,20.683863
66.0,66,20.730451
48.0,48,20.764169
73.0,73,20.839968
43.0,43,20.870486
122.0,122,20.963233
29.0,29,20.984019
24.0,24,21.00136
52.0,52,21.069228
41.0,41,21.098113
42.0,42,21.129446
35.0,35,21.15503
45.0,45,21.186212
44.0,44,21.219393
93.0,93,21.320353
11.0,11,21.328224
60.0,60,21.370832
102.0,102,21.443187
33.0,33,21.490138
69.0,69,21.538091
64.0,64,21.582493
66.0,66,21.62833
34.0,34,21.679208
10.0,10,21.686388
48.0,48,21.720453
78.0,78,21.779497
56.0,56,21.8179
22.0,22,21.833254
42.0,42,21.888934
15.0,15,21.899408
45.0,45,21.930494
32.0,32,21.952104
30.0,30,21.972876
79.0,79,22.027533
40.0,40,22.055221
58.0,58,22.122834
38.0,38,22.149709
55.0,55,22.188688
53.0,53,22.226152
107.0,107,22.329667
55.0,55,22.368534
47.0,47,22.401672
33.0,33,22.425124
53.0,53,22.466345
90.0,90,22.561387
41.0,41,22.590901
13.0,13,22.599892
60.0,60,22.64175
42.0,42,22.670727
